ID,Person,Survey_Type,Score,Comment,Permalink,Created_At,Updated_At
124813245,610912319,nps,8,"I utilized your free services that has been provided to our team members at PRISMA so I'm not exactly sure the cost to necessarily recommend this service as a value. However, the fact that I was offered these services for free in the first place shows the integrity of the company. I was impressed by the overall ease of having the documents created so this would be the main reason I would recommend Metlife.",https://app.delighted.com/r/gLzlH20G8qjbOZ9BxvQAeF1O0Z8ai2nY,05/08/2020 08:31:08,05/08/2020 08:36:26
124813257,610912387,nps,10,,https://app.delighted.com/r/Z5G1tST3ZhfK7hILuNtMwpRBHd7Z0uly,05/08/2020 08:31:16,05/08/2020 08:31:16
124813515,610912268,nps,9,,https://app.delighted.com/r/oMTDHquuQT4ILaKyUfwgAzihueqYa5lN,05/08/2020 08:33:22,05/08/2020 08:33:22
124814571,610912385,nps,10,great people,https://app.delighted.com/r/2DROk7wmc4UnsSlIU69tpy2LJdBUI47t,05/08/2020 08:42:44,05/08/2020 08:43:19
124814942,610912607,nps,8,,https://app.delighted.com/r/8t5Jg1Ju9CqPbKjryQjVTheFeK5ZMlmf,05/08/2020 08:45:33,05/08/2020 08:45:33
124815541,610912402,nps,10,"Very easy to use and worded with minimal ""legal-ese"".",https://app.delighted.com/r/U6G98uX0xYpErbi8dRJrKI7TjQQ0qdfW,05/08/2020 08:51:28,05/08/2020 08:51:52
124815810,610912380,nps,10,Free and very simple to use!,https://app.delighted.com/r/HzJBz27DWrwzOGu84fjFT5cmUYkRXVJi,05/08/2020 08:53:49,05/08/2020 08:54:17
124815991,610912522,nps,10,It was fast and a very big help that is needed.,https://app.delighted.com/r/ikBD5KaGE5RksXDyys68EKfQk6MYOsw9,05/08/2020 08:55:10,05/08/2020 08:55:58
124816378,610912675,nps,10,You made the paperwork so easy to fill out and print along with providing instructions. Thank you! This is something I have wanted to update for some time and haven't taken the time to do. Now I will!,https://app.delighted.com/r/s4M8oNHOcFLtpAP6B6s6BDDZhbmakd6Z,05/08/2020 08:58:25,05/08/2020 08:59:44
124817813,610912563,nps,10,"It was easy to create the document, step by step, easy and understandable vocabulary, and very neat document when completed.",https://app.delighted.com/r/3A0IRtt6E2HFkdKtXRaQ9CVjtp39KNJX,05/08/2020 09:09:19,05/08/2020 09:10:01
124819093,610912604,nps,8,,https://app.delighted.com/r/YRyVWfpsFgIeKCw6GMRUDyrZGpIUobek,05/08/2020 09:19:14,05/08/2020 09:19:14
124819156,610913079,nps,10,,https://app.delighted.com/r/XQFONVS47M0Wbed5AzuuCTVzu7DkRf3q,05/08/2020 09:19:42,05/08/2020 09:19:42
124820514,610913141,nps,10,great gift to employees,https://app.delighted.com/r/yv1VDQ3nXXDniU8RxFegvzJmnZmfseFR,05/08/2020 09:30:38,05/08/2020 09:30:55
124820605,610913207,nps,10,The process was very consumer friendly.,https://app.delighted.com/r/faqF8lTb8xRpHJIh3mqqeUYCAv8Gkhhq,05/08/2020 09:31:19,05/08/2020 09:32:02
124821476,610912761,nps,9,,https://app.delighted.com/r/riXClbJAzeVVY5cp491hko0Hy4ab2B6y,05/08/2020 09:38:12,05/08/2020 09:38:12
124824164,610912810,nps,8,I appreciate the free legal documents,https://app.delighted.com/r/fDfFRjR4wXsltKJoIAL1UOoOydH9rC3c,05/08/2020 09:57:34,05/08/2020 09:57:55
